DATE:,2017/12/3 19:54,,,,,,,,,,,,
TOOL:,DATE,,,,,,,,,,,,
,,No.,USECASE NAME,IS IN BENCHMARKS,IS IN SCRIPTFILE,TOTAL,FOUNDED,MISSED,EXTRA,PR,FNR,FPR,OVERHEAD
,,1,tsp,TRUE,TRUE,6,5,1,0,83.33%,16.67%,0.00%,204.15
,,2,testRace1,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,255.76
,,3,testRace3,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,263.71
,,4,testRace4,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,332.33
,,5,testRace6,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,337.24
,,6,testRace10,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,268.84
,,7,testRace11,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,299
,,8,testRace13,TRUE,TRUE,1,0,1,0,0.00%,100.00%,0.00%,297.51
,,9,sor,TRUE,TRUE,3,2,1,7,66.67%,33.33%,233.33%,21899
,,10,cyclicDemo,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,650.16
,,11,JGFRayTracerBenchSizeA,TRUE,TRUE,3,1,2,0,33.33%,66.67%,0.00%,154.45
,,12,simpleExample,TRUE,TRUE,2,0,2,0,0.00%,100.00%,0.00%,631.35
,,13,testAtomicity1,TRUE,TRUE,2,1,1,0,50.00%,50.00%,0.00%,924.37
,,14,testAtomicity4,TRUE,TRUE,2,1,1,0,50.00%,50.00%,0.00%,758.49
,,15,testAtomicity6,TRUE,TRUE,1,1,0,0,100.00%,0.00%,0.00%,723.14
,,16,testAtomicity7,TRUE,TRUE,2,2,0,0,100.00%,0.00%,0.00%,925.47
,,17,testAtomicity8,TRUE,TRUE,3,3,0,0,100.00%,0.00%,0.00%,1100.45
,,18,testAtomicity9,TRUE,TRUE,10,10,0,0,100.00%,0.00%,0.00%,1808.52
,,19,testAtomicity11,TRUE,TRUE,2,2,0,0,100.00%,0.00%,0.00%,1059.61
,,20,testAtomicity12,TRUE,TRUE,2,2,0,0,100.00%,0.00%,0.00%,984.51
,,21,testAtomicity13,TRUE,TRUE,3,2,1,0,66.67%,33.33%,0.00%,707.33
,,22,testAtomicity14,TRUE,TRUE,4,4,0,0,100.00%,0.00%,0.00%,789
,,23,account,TRUE,TRUE,4,2,2,0,50.00%,50.00%,0.00%,148
,,24,airlinetickets,TRUE,TRUE,7,5,2,0,71.43%,28.57%,0.00%,5821.58
,,25,boundedbuffer,TRUE,TRUE,12,11,1,1,91.67%,8.33%,8.33%,20528.41
,,26,bubblesort,TRUE,TRUE,6,4,2,63,66.67%,33.33%,1050.00%,10656.89
,,27,bufwriter,TRUE,TRUE,2,2,0,0,100.00%,0.00%,0.00%,4263.71
,,28,critical,TRUE,TRUE,8,2,6,0,25.00%,75.00%,0.00%,781.61
,,29,mergesort,TRUE,TRUE,4,4,0,0,100.00%,0.00%,0.00%,7327.77
,,30,pingpong,TRUE,TRUE,8,4,4,0,50.00%,50.00%,0.00%,2075.16
,,31,Elevator,TRUE,TRUE,34,0,34,0,0.00%,100.00%,0.00%,14.81
,,32,animator,TRUE,TRUE,31,2,29,4,6.45%,93.55%,12.90%,24.18
,,33,jpf_test_cases,TRUE,TRUE,5,2,3,0,40.00%,60.00%,0.00%,1569.09
,,34,testRace12,TRUE,TRUE,2,2,0,0,100.00%,0.00%,0.00%,3013.49
,,35,tomcat8.0.26,TRUE,FALSE,,--,--,--,--,--,--,--
,,36,JGFMolDynBenchSizeA,TRUE,FALSE,,--,--,--,--,--,--,--
,,37,dbcp3,TRUE,FALSE,,--,--,--,--,--,--,--
,,38,derby3,TRUE,FALSE,,--,--,--,--,--,--,--
,,39,groovy1,TRUE,FALSE,,--,--,--,--,--,--,--
,,40,groovy5,TRUE,FALSE,,--,--,--,--,--,--,--
,,41,groovy6,TRUE,FALSE,,--,--,--,--,--,--,--
,,42,log4j1,TRUE,FALSE,,--,--,--,--,--,--,--
,,43,log4j3,TRUE,FALSE,,--,--,--,--,--,--,--
,,44,zookeeper,TRUE,FALSE,,--,--,--,--,--,--,--
,,45,ftpserver1.1.0,TRUE,FALSE,,--,--,--,--,--,--,--
,,46,log4j2.8.1,TRUE,FALSE,,--,--,--,--,--,--,--
,,47,guava-21.0,TRUE,FALSE,,--,--,--,--,--,--,--
,,48,commons-dbcps2-2.1.1,TRUE,FALSE,,--,--,--,--,--,--,--
,,,Statistic description:,,,,,,,,,,
,,1,tsp,total 6 races;,5 right race;,1 missing race;,0 extra race;,precision is 83.33333333333333%;,FNR is 16.666666666666668%;,FPR is0.0%;,,,
,,2,testRace1,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,3,testRace3,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,4,testRace4,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,5,testRace6,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,6,testRace10,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,7,testRace11,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,8,testRace13,total 1 races;,0 right race;,1 missing race;,0 extra race;,precision is 0.0%;,FNR is 100.0%;,FPR is0.0%;,,,
,,9,sor,total 3 races;,2 right race;,1 missing race;,7 extra race;,precision is 66.66666666666667%;,FNR is 33.333333333333336%;,FPR is233.33333333333334%;,,,
,,10,cyclicDemo,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,11,JGFRayTracerBenchSizeA,total 3 races;,1 right race;,2 missing race;,0 extra race;,precision is 33.333333333333336%;,FNR is 66.66666666666667%;,FPR is0.0%;,,,
,,12,simpleExample,total 2 races;,0 right race;,2 missing race;,0 extra race;,precision is 0.0%;,FNR is 100.0%;,FPR is0.0%;,,,
,,13,testAtomicity1,total 2 races;,1 right race;,1 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,14,testAtomicity4,total 2 races;,1 right race;,1 missing race;,0 extra race;,precision is 50.0%;,FNR is 50.0%;,FPR is0.0%;,,,
,,15,testAtomicity6,total 1 races;,1 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,16,testAtomicity7,total 2 races;,2 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,17,testAtomicity8,total 3 races;,3 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
,,18,testAtomicity9,total 10 races;,10 right race;,0 missing race;,0 extra race;,precision is 100.0%;,FNR is 0.0%;,FPR is0.0%;,,,
